,0,Royal Challengers Banglore
0,Tanmay Agarwal,0
1,Andre Rusell,0
2,Suresh Raina,0
3,Rahul Tripathi,0
4,Corey Anderson,0
5,Manoj Tiwary,0
6,Rajat Bhatia,0
7,Deepak Hooda,0
8,Angelo Mathews,0
9,Yusuf Pathan,0
10,Baba Aparajith,0
11,Kagiso Rabada,0
12,jason ray,0
13,Chris Gayle,1
14,Ishank Jaggi,0
15,Shahbaz Nadeem,0
16,Jaydev Shah,0
17,Aditya Tare,0
18,Pat Cummins,0
19,Shaun Marsh,0
20,David Warner,0
21,Ravindra Jadeja,0
22,Pawan Negi,1
23,Bipul Sharma,0
24,Manan Vohra,0
25,Darren Sammy,0
26,Aaron Finch,0
27,AB de Villiers,1
28,Jayant Yadav,0
29,Sam Billings,0
30,Manish Pandey,0
31,Kieron Pollard,0
32,Ankit Sharma,0
33,dhawal kulkarni,0
34,Ben Cutting,0
35,Zaheer Khan,0
36,Chris Lynn,0
37,Ajinkya Rahane,0
38,Kane Williamson,0
39,Darren Bravo,0
40,Carlos Brathwaite,0
41,Mohammed Shami,0
42,Brendon McCullum,0
43,Chris Morris,0
44,Armaan Jaffer,0
45,Gurkeerat Singh,0
46,Karn Sharma,0
47,Saurabh Tiwari,0
48,Yuvraj Singh,0
49,SuryaKumar Yadav,0
50,Akshdeep Nath,0
51,Shane Watson,1
52,Hardik Pandya,0
53,Ankit Bawne,0
54,Faf du Plessis,0
55,Marlon Samuels,0
56,kedar jadhav,1
57,Shreyas Iyer,0
58,Stuart Binny,1
59,Amit Mishra,0
60,Pratyush Singh,0
61,Eoin Morgan,0
62,Harpreet Singh,1
63,Lendl Simmons,0
64,Player Name,0
65,Chrish Woakes,0
66,Rinku Singh,0
67,Mitchell Marsh,0
68,Moises Henriques,0
69,Siddesh Lad,0
70,Shreyas Gopal,0
71,Robin Uthappa,0
72,Steve Smith,0
73,Khaleel Ahmed,0
74,Ambati Rayudu,0
75,Mandeep Singh,1
76,Murali Vijay,0
77,Rohit Sharma,0
78,Ricky Bhui,0
79,David Miller,0
80,Shikhar Dhawan,0
81,Krunal Pandya,0
82,Quinton de Kock,0
83,Nitish Rana,0
84,Virat Kohli,1
85,Karun Nair,0
86,Mayank Agarwal,0
87,Mohammed Nabi,0
88,JP Duminy,0
89,Martin Guptill,0
90,travis head,1
91,Gautam Ghambir,0
92,Usman Khawaja,0
93,dinesh karthik ,0
94,Rishab Pant,0
95,Shashank Singh,0
96,kl rahul,1
97,Rishi Dhawan,0
98,Hashim Amla,0
99,Sanju Samson,0
